,Batter,Pitcher,Results
64,Alex Bregman,Chris Sale,0.3203 +/- 0.021
65,Alex Bregman,Gerrit Cole,0.3349 +/- 0.021
66,Alex Bregman,Patrick Corbin,0.3366 +/- 0.021
67,Alex Bregman,Trevor Bauer,0.3401 +/- 0.021
68,Alex Bregman,Corey Kluber,0.3315 +/- 0.021
69,Alex Bregman,Luis Severino,0.3444 +/- 0.021
70,Hector Santiago,Jacob deGrom,0.1173 +/- 0.021
71,Hector Santiago,Max Scherzer,0.1173 +/- 0.021
72,Hector Santiago,Scott Kingery,0.2967 +/- 0.021
73,Hector Santiago,Justin Verlander,0.1164 +/- 0.021
74,Hector Santiago,Chris Sale,0.113 +/- 0.021
75,Hector Santiago,Gerrit Cole,0.1276 +/- 0.021
76,Hector Santiago,Patrick Corbin,0.1293 +/- 0.021
77,Hector Santiago,Trevor Bauer,0.1327 +/- 0.021
78,Hector Santiago,Corey Kluber,0.1242 +/- 0.021
79,Hector Santiago,Luis Severino,0.137 +/- 0.021
80,Francisco Lindor,Jacob deGrom,0.3025 +/- 0.021
81,Francisco Lindor,Max Scherzer,0.3025 +/- 0.021
82,Francisco Lindor,Scott Kingery,0.4819 +/- 0.021
83,Francisco Lindor,Justin Verlander,0.3017 +/- 0.021
84,Francisco Lindor,Chris Sale,0.2982 +/- 0.021
85,Francisco Lindor,Gerrit Cole,0.3128 +/- 0.021
86,Francisco Lindor,Patrick Corbin,0.3145 +/- 0.021
87,Francisco Lindor,Trevor Bauer,0.318 +/- 0.021
88,Francisco Lindor,Corey Kluber,0.3094 +/- 0.021
89,Francisco Lindor,Luis Severino,0.3223 +/- 0.021
90,Matt Chapman,Jacob deGrom,0.3046 +/- 0.021
91,Matt Chapman,Max Scherzer,0.3046 +/- 0.021
92,Matt Chapman,Scott Kingery,0.484 +/- 0.021
93,Matt Chapman,Justin Verlander,0.3038 +/- 0.021
94,Matt Chapman,Chris Sale,0.3003 +/- 0.021
95,Matt Chapman,Gerrit Cole,0.3149 +/- 0.021
96,Matt Chapman,Patrick Corbin,0.3166 +/- 0.021
97,Matt Chapman,Trevor Bauer,0.3201 +/- 0.021
98,Matt Chapman,Corey Kluber,0.3115 +/- 0.021
99,Matt Chapman,Luis Severino,0.3244 +/- 0.021
